mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,u0_atom,u298_atom,h298_atom,g298_atom,bbbp
gdb_27477,CC1=CC(=N)NC(=O)O1,2.07421,1.84505,0.98241,1.6643,73.14,-0.2485,-0.0336,0.2149,1138.0926,0.113776,-454.023999,-454.016162,-454.015218,-454.056538,29.262,-1563.514602089,-1571.9282427611,-1580.2251667591,-1460.5479052971,0.83559185
gdb_21188,CNc1conc1N,3.42317,1.84196,1.21151,3.8007,64.0,-0.2056,0.0145,0.2201,954.5175,0.120321,-395.961373,-395.953756,-395.952812,-395.993316,28.121,-1415.793335908,-1424.344401051,-1432.641952558,-1314.842198024,0.5302717
gdb_1243,CC(C)OCC#N,6.60603,1.25987,1.1183,4.7243,62.39,-0.2789,0.0134,0.2923,1042.7896,0.134527,-325.784384,-325.775982,-325.775038,-325.817748,28.771,-1505.787539143,-1514.735189974,-1523.626364995,-1402.100462019,0.74782485
gdb_13908,CC1C(N1C)C(N)=O,3.38906,1.37427,1.18659,3.5572,69.84,-0.2296,0.0289,0.2585,1084.0917,0.152827,-381.132795,-381.123783,-381.122839,-381.166256,32.692,-1671.623735136,-1681.9657109651,-1692.042250487,-1551.876820175,0.9954397
gdb_16336,CCC12CC1CC2O,2.95497,1.81306,1.4035,1.3333,75.06,-0.2445,0.0747,0.3192,982.7233,0.176722,-348.980112,-348.971679,-348.970735,-349.012798,32.098,-1873.0221211771,-1885.5057852231,-1896.768316755,-1740.034138807,0.25715035
gdb_12402,OC1CCCNC1=O,3.06143,2.08661,1.31471,4.1551,64.5,-0.2475,0.0169,0.2644,914.1199,0.144985,-401.049962,-401.04272,-401.041776,-401.08141,27.904,-1631.9162206341,-1642.480334649,-1651.963878166,-1517.6436941891,0.22382052
gdb_4795,COc1cc(co1)N,6.97166,1.28946,1.09746,1.1859,65.01,-0.178,0.0494,0.2274,1044.9119,0.118914,-399.807679,-399.799727,-399.798783,-399.840357,28.782,-1480.2240775011,-1488.565554638,-1496.863106145,-1380.094348898,0.76045907
gdb_17780,CC#CC1C2CC1C2,6.63374,1.05507,1.02517,0.2601,82.4,-0.2365,0.0527,0.2892,1216.5867,0.154214,-310.595791,-310.587969,-310.587025,-310.629392,28.715,-1768.8757074651,-1779.966301531,-1790.042841053,-1650.088881274,0.944627
gdb_8858,CCC(C)C(=O)C#N,3.84558,1.20936,1.02165,3.7384,69.76,-0.2913,-0.0838,0.2076,1166.2256,0.139756,-363.893635,-363.884294,-363.88335,-363.928329,32.142,-1670.4954739541,-1679.7430740871,-1689.226617604,-1558.5158653951,0.17074865
gdb_24441,c1[nH]c2c(n1)OCCC2,3.44305,1.61962,1.1443,4.6207,74.08,-0.1916,0.0323,0.2238,1032.5203,0.140548,-418.055484,-418.048621,-418.047677,-418.086638,27.388,-1719.604955803,-1730.4075232381,-1739.890439246,-1602.6542209461,0.61919487
gdb_13539,CC(C#N)C1NC1C,2.89816,1.53634,1.14117,3.5701,72.27,-0.2637,0.0371,0.3008,1082.6172,0.153366,-343.982458,-343.973586,-343.972642,-344.016285,31.761,-1713.961767366,-1724.3922219641,-1734.468761486,-1594.700544371,0.5240387
gdb_19031,N=C1OC2CN3C2C13,4.40043,2.28395,1.93855,3.0154,62.06,-0.2498,0.0058,0.2556,702.75,0.110023,-378.682095,-378.676583,-378.675639,-378.711569,22.304,-1389.490668664,-1398.474715017,-1406.179270519,-1293.983798864,0.92023003
gdb_5564,Cc1c(nc[nH]1)CO,3.29393,1.87291,1.2614,3.8114,67.31,-0.2127,0.0278,0.2404,942.502,0.131989,-379.961766,-379.95389,-379.952946,-379.994178,28.633,-1564.6441182891,-1573.921838854,-1582.812386366,-1457.609908159,0.9524505
gdb_357,C(C(=O)C=O)O,10.18019,2.11712,1.7719,5.1353,41.26,-0.2516,-0.0953,0.1563,627.7041,0.069653,-342.297848,-342.291172,-342.290228,-342.328622,21.411,-980.610196827,-985.30835671,-990.64218321,-917.648453803,0.9006074
gdb_8550,OC12CC3CN(C1)C23,3.95217,2.26474,1.85577,2.3333,66.9,-0.2055,0.0691,0.2746,757.1218,0.143498,-363.794871,-363.788372,-363.787428,-363.825097,26.325,-1608.5201750781,-1619.551155789,-1629.034699306,-1493.7368563071,0.50520694
gdb_17514,O=CC12CC3C(C1)C23,4.62198,1.79154,1.59799,2.8632,68.81,-0.2488,-0.0293,0.2195,823.6488,0.131104,-346.559853,-346.553345,-346.552401,-346.590676,25.34,-1609.991056174,-1620.128464069,-1629.019011581,-1502.575948081,0.982258
gdb_27388,c1c(oc(nc1=O)O)N,2.10669,1.8892,0.99669,5.6526,64.27,-0.2355,-0.0146,0.2209,1078.8981,0.090548,-489.950545,-489.943097,-489.942153,-489.982487,28.286,-1381.088323154,-1387.96833183,-1395.0792638181,-1290.861941589,0.7313723
gdb_10799,C1C(=O)OCC(=O)N1,4.96625,1.61262,1.26834,2.5666,54.89,-0.2638,-0.0064,0.2574,879.4385,0.09682,-435.799938,-435.793039,-435.792095,-435.831605,24.662,-1339.0332974831,-1346.2578086,-1353.369368097,-1251.384095381,0.9559056
gdb_26057,OC(C#N)C1=CN=CN1,3.44326,1.20817,0.93132,4.7793,67.83,-0.2464,-0.0154,0.2309,1166.7454,0.102734,-432.903396,-432.895483,-432.894539,-432.936808,28.418,-1475.906815581,-1483.384212825,-1491.088140818,-1380.121331785,0.17413935
gdb_2938,COC1OCC=C1,6.09771,2.08735,1.72623,0.8742,59.0,-0.2526,0.0095,0.2621,744.1805,0.125089,-345.648365,-345.641555,-345.640611,-345.679359,24.232,-1432.705330967,-1441.763423382,-1450.061602398,-1334.268621646,0.31202203
gdb_26287,CN(C)c1cncnc1,3.62496,1.25857,0.94653,4.3836,83.85,-0.2083,-0.0278,0.1805,1222.4916,0.149671,-398.167952,-398.159464,-398.15852,-398.201494,30.739,-1777.90869952,-1788.5801175741,-1798.656029587,-1655.7188920221,0.87321675
gdb_7142,CCNC(=O)OCC,5.7376,0.88614,0.8328,2.3231,70.15,-0.247,0.0654,0.3124,1456.9584,0.164069,-402.254154,-402.244276,-402.243332,-402.290527,33.561,-1759.7059184481,-1770.393024227,-1781.062559754,-1635.152912056,0.7876799
gdb_5396,CNc1ccncn1,5.41277,1.5697,1.22622,4.0116,71.3,-0.2246,-0.016,0.2086,949.8811,0.121825,-358.904275,-358.897054,-358.89611,-358.936279,25.891,-1516.639679789,-1525.439866005,-1533.737417512,-1415.982843626,0.5624639
gdb_13143,COCC1CCC1C,3.57308,1.19041,0.99684,0.97,79.07,-0.2497,0.083,0.3327,1270.8077,0.19961,-350.186593,-350.177317,-350.176373,-350.220696,33.778,-2002.2481870921,-2015.979966539,-2028.428490081,-1856.778423203,0.31638426
gdb_1867,CC1CCC(=O)N1,5.34973,2.07798,1.59924,3.896,61.28,-0.2359,0.0378,0.2737,781.0318,0.138466,-325.835955,-325.829144,-325.8282,-325.866649,25.5,-1538.1488057821,-1548.094823432,-1556.985998453,-1432.7862796281,0.9692797
gdb_16639,OC1C2CC2OC1=O,3.24121,2.41022,1.61169,3.1042,56.39,-0.27,-0.0065,0.2635,772.3636,0.107996,-419.695514,-419.688959,-419.688015,-419.726313,25.027,-1422.1104690111,-1430.4400234771,-1438.144578979,-1327.5392151301,0.44840652
gdb_3198,C1CC2CCC1C2,3.68948,3.201,2.76562,0.0607,69.16,-0.2839,0.078,0.3619,641.2728,0.176672,-273.812948,-273.807327,-273.806383,-273.841982,23.683,-1808.649110412,-1822.008777022,-1832.678940058,-1682.752607251,0.6487337
gdb_4293,OC1=NC(=N)N=CO1,4.26462,2.03656,1.37834,5.8079,56.15,-0.2572,-0.0456,0.2117,797.543,0.074002,-430.750178,-430.744028,-430.743084,-430.780795,22.611,-1147.275959718,-1153.192742079,-1159.118309566,-1071.978644772,0.8205817
gdb_12961,CC12C(O)C1CC2O,2.38121,2.18318,1.85752,2.8423,67.46,-0.2456,0.0655,0.3111,858.1625,0.153507,-384.911523,-384.903575,-384.90263,-384.94313,30.949,-1693.648673527,-1704.658946441,-1714.734858454,-1573.098547046,0.22861817
gdb_21517,C#Cc1cnoc1N,3.79983,1.90141,1.2683,3.3907,66.09,-0.2135,0.0003,0.2138,872.6626,0.083714,-377.489699,-377.48263,-377.481686,-377.520749,26.581,-1269.103067014,-1275.332976366,-1281.851539858,-1187.95611317,0.64804107
gdb_7238,NC(=N)C(=O)OC=N,4.63497,1.30826,1.02248,2.6341,60.02,-0.2563,-0.059,0.1972,1065.1103,0.094625,-431.944631,-431.936418,-431.935474,-431.978073,28.492,-1268.954347381,-1275.353684163,-1282.46524366,-1182.058783588,0.9010472
gdb_3877,c1([nH]c(nn1)N)N,7.61247,2.14291,1.68535,5.0898,52.48,-0.2025,0.0433,0.2458,690.7618,0.093063,-352.890573,-352.884197,-352.883253,-352.920347,23.713,-1114.681259731,-1121.344150293,-1127.863341294,-1034.506944837,0.32678762
gdb_13318,N#CCC1COCO1,5.16961,1.29803,1.14966,4.4508,61.25,-0.2745,0.0309,0.3053,1008.3247,0.119817,-399.808727,-399.801288,-399.800344,-399.841472,25.92,-1480.881706933,-1489.545096187,-1497.842647694,-1380.794021433,0.8432118
gdb_26387,CC(C)Nc1cnco1,4.2298,0.91271,0.89983,3.1271,79.17,-0.1971,0.0211,0.2182,1388.2682,0.159595,-419.238277,-419.229255,-419.228311,-419.273181,33.087,-1833.966588526,-1845.1914695181,-1855.860377536,-1705.9980506471,0.96603864
gdb_27728,Cc1cc([nH]c1C=O)N,2.23778,1.4613,0.88982,4.3951,85.04,-0.1928,-0.0256,0.1672,1263.7407,0.136572,-418.07236,-418.063369,-418.062424,-418.10623,32.972,-1730.194797687,-1739.6620259701,-1749.144314469,-1614.948377274,0.7807954
gdb_15232,CCC1C(O)C1C#N,3.06179,1.49056,1.30923,3.8099,69.36,-0.2727,0.026,0.2987,1014.8742,0.141225,-363.865266,-363.856546,-363.855601,-363.898767,31.16,-1652.6936711331,-1662.330954355,-1671.813870363,-1539.9654443371,0.014138928
gdb_28174,c1c2c(oc1N)CC=C2,5.01041,1.25354,1.01031,1.5115,78.83,-0.1711,0.0028,0.1739,1129.4491,0.126325,-400.77616,-400.768795,-400.767851,-400.807775,28.9,-1693.273423145,-1702.8730558271,-1711.76297583,-1583.605557742,0.5328226
gdb_22098,CC(CC(O)C#C)=NO,3.61139,0.79548,0.70906,1.5081,78.68,-0.2401,0.0081,0.2482,1575.864,0.143258,-439.006825,-438.996165,-438.995221,-439.043535,37.813,-1700.9993139531,-1710.3077824591,-1720.3836944721,-1580.9016214611,0.748751
gdb_22239,CC(C)C(=NO)COC,1.96804,1.24634,0.90617,0.8282,81.71,-0.2488,0.0026,0.2513,1400.3264,0.191011,-441.436297,-441.425128,-441.424183,-441.473379,39.663,-1969.8116193731,-1982.354896774,-1994.802165298,-1823.2054366851,0.90526295
gdb_27184,c1nc(c(o1)C2CC2)O,3.17841,1.3049,0.99825,0.631,73.3,-0.2018,0.0042,0.206,1165.138,0.125352,-437.905075,-437.897276,-437.896332,-437.938002,29.207,-1637.4928931171,-1646.819559384,-1655.709479387,-1528.39229585,0.5044142
gdb_2790,OCC1CNC1=O,4.26696,2.44037,1.66658,4.2483,54.09,-0.2583,0.0221,0.2804,721.9585,0.114409,-361.728609,-361.721789,-361.720845,-361.759518,24.474,-1334.4549918191,-1342.6176288911,-1350.322811902,-1242.3423182,0.98539287
gdb_7279,CC(O)C(O)CC#N,4.0184,1.14009,0.94732,4.5157,65.18,-0.2717,0.0312,0.3028,1197.9405,0.139732,-401.011905,-401.002488,-401.001544,-401.046174,33.403,-1608.0351106211,-1617.234392561,-1626.717936078,-1495.532787065,0.2947587
gdb_23822,FC1=NC(=N)N=NO1,2.43229,1.27222,0.86148,2.9314,46.92,-0.297,-0.0523,0.2447,1159.9691,0.042091,-470.873097,-470.863294,-470.86235,-470.912945,27.736,-979.244737243,-981.09149623,-985.831071707,-922.89003648,0.88625497
gdb_14495,CC1(C#N)C2CN1C2,3.67018,2.07908,1.58066,4.2104,69.44,-0.2508,0.0093,0.2602,824.9967,0.131391,-342.712921,-342.705881,-342.704937,-342.743921,27.06,-1545.167493947,-1554.970439545,-1563.860987057,-1437.503264781,0.7827994
gdb_27436,NC1=CC(=O)C=NC=N1,2.57221,1.67165,1.05458,4.0619,77.71,-0.2314,-0.0853,0.1462,1060.8414,0.102425,-432.897411,-432.889866,-432.888922,-432.929467,28.497,-1472.151174216,-1479.859494772,-1487.563422765,-1375.514788216,0.0050500287
gdb_12872,CC12N=COC1C2O,2.91565,2.4259,1.90231,1.203,60.16,-0.2396,0.0095,0.2491,763.2945,0.118626,-399.788204,-399.780874,-399.77993,-399.819568,27.124,-1468.003339726,-1476.735127461,-1485.032678968,-1367.049064297,0.32732928
gdb_4040,CC(=NO)C1(CC1)O,3.44618,1.50915,1.23497,0.8852,68.02,-0.237,0.0063,0.2432,1012.1215,0.139406,-400.943819,-400.934945,-400.934,-400.977403,32.715,-1565.3105328471,-1574.850552174,-1584.333468182,-1452.378365626,0.9329158
gdb_23720,c1c(ncc(n1)F)F,6.08537,1.52794,1.22129,0.0,51.45,-0.2722,-0.0708,0.2015,832.3715,0.060824,-462.757974,-462.752396,-462.751452,-462.787936,20.724,-1107.652531422,-1113.040323696,-1118.372895178,-1039.112233388,0.9025313
gdb_17561,CC12OC1CC21CO1,3.27967,2.14981,1.63614,0.3672,64.55,-0.2489,0.08,0.3289,824.8832,0.128789,-383.680637,-383.673328,-383.672383,-383.711937,27.781,-1549.108250467,-1558.742396144,-1567.632316147,-1441.736440495,0.96042275
gdb_22175,CC1(C(=NO)CCO1)C,2.28381,1.44315,1.11151,0.9954,78.08,-0.2458,0.0057,0.2515,1181.1057,0.169102,-440.262162,-440.252687,-440.251743,-440.296126,35.798,-1860.8829595721,-1872.712131731,-1883.974035754,-1725.6911655941,0.48568636
gdb_2332,CC1NC1CCO,6.07693,1.25263,1.14017,1.9442,64.73,-0.2433,0.0771,0.3205,1062.7557,0.159507,-326.947461,-326.939074,-326.938129,-326.980538,29.614,-1607.777204422,-1618.511373376,-1628.587912898,-1490.539070443,0.98929346
gdb_9853,COC(C)C1(C)CO1,3.23207,1.37989,1.32076,1.5532,71.28,-0.2535,0.0822,0.3357,1074.8277,0.173739,-386.115305,-386.105642,-386.104698,-386.149823,34.472,-1821.181092651,-1832.8922931181,-1844.15482465,-1689.086683097,0.9299245
gdb_1388,CC#CC(C)C#N,4.71246,1.41059,1.14126,4.1576,66.15,-0.2669,0.0204,0.2873,1024.0718,0.111627,-287.433999,-287.425591,-287.424647,-287.468115,27.836,-1422.936270855,-1430.1036786531,-1437.808861664,-1333.3480659431,0.9894197
gdb_10966,CC12NC(C=C1)C2=O,2.77172,2.64416,1.89531,1.3658,66.52,-0.247,-0.001,0.246,759.715,0.119071,-362.636502,-362.629636,-362.628692,-362.667314,26.4,-1509.484822171,-1518.508401591,-1526.805953098,-1408.440185446,0.04246209
gdb_3973,CC(=NO)CC(=O)N,3.93365,1.21168,1.06375,3.033,64.58,-0.2384,-0.0054,0.233,1107.8761,0.128252,-417.059279,-417.049833,-417.048889,-417.095303,32.585,-1489.1585506431,-1497.450454569,-1506.341002081,-1384.1348793491,0.13442191
gdb_26708,c1(c(c([nH]c1N)O)O)O,2.3286,1.57911,0.94868,1.4237,64.39,-0.1673,0.045,0.2123,1151.1478,0.111751,-491.087388,-491.07787,-491.076926,-491.120967,34.831,-1466.615917327,-1473.9740878611,-1482.271011859,-1364.045806223,0.778499
gdb_13871,CC(O)C1=CCOC1,4.16218,1.38993,1.11893,2.2786,70.08,-0.2306,0.0102,0.2407,1074.185,0.153159,-384.939961,-384.931561,-384.930617,-384.973259,30.41,-1711.493774469,-1722.220413315,-1732.296952837,-1592.004765707,0.8693311
gdb_843,Cc1coc(n1)O,7.28598,2.14214,1.67258,2.5185,51.67,-0.2205,0.0268,0.2473,703.0693,0.090583,-360.553317,-360.54707,-360.546126,-360.583218,22.747,-1224.8003041051,-1231.545398346,-1238.064589347,-1145.426063186,0.7419169
gdb_1958,CC1CN(C1)C=O,7.31115,1.54713,1.40089,4.3386,63.33,-0.2386,0.0278,0.2664,879.5528,0.136847,-325.790782,-325.783318,-325.782374,-325.823431,25.699,-1509.802341725,-1519.338595998,-1528.229771019,-1405.6665956661,0.98369306
gdb_12353,CC1CN=COC1C,2.90989,2.0837,1.50264,2.3569,71.11,-0.2422,0.0331,0.2753,910.5763,0.166771,-365.087169,-365.079272,-365.078328,-365.119046,30.047,-1791.597180846,-1803.528009463,-1814.19754499,-1664.478917662,0.5673386
gdb_20719,Cc1nc([nH]n1)C#C,7.0819,1.34241,1.13644,2.2187,70.37,-0.2473,-0.0331,0.2142,994.5938,0.096168,-357.646326,-357.639062,-357.638118,-357.677916,26.225,-1355.116980662,-1362.113078503,-1369.224638,-1267.571317545,0.81697476
gdb_5585,Cc1c(cc[nH]1)OC,3.24809,1.88683,1.21173,1.272,72.61,-0.1754,0.0489,0.2243,991.1532,0.142241,-363.890356,-363.881952,-363.881008,-363.923644,30.192,-1668.4378719431,-1678.273448009,-1687.756991526,-1555.57598573,0.31591877
gdb_11699,O=CC12CC1C(=O)O2,4.29008,1.70115,1.38042,5.0097,56.85,-0.277,-0.0563,0.2207,844.6212,0.08256,-418.4754,-418.468805,-418.467861,-418.506505,23.878,-1284.3295728991,-1290.856921517,-1297.3754850091,-1203.321298544,0.68526864
gdb_7968,CC1CC(C)=CC1=O,3.48341,1.64664,1.19088,3.9776,76.02,-0.2298,-0.0366,0.1932,1034.7519,0.153381,-347.860285,-347.85206,-347.851115,-347.893104,30.242,-1798.172220148,-1809.0093005781,-1819.085212591,-1678.6386582471,0.7347967
gdb_26580,CC1=C(N)C(=N)OC=C1,2.36225,1.83611,1.04072,2.4752,83.33,-0.1826,-0.0242,0.1584,1112.3478,0.137086,-418.052405,-418.04407,-418.043126,-418.085091,32.139,-1717.672855592,-1727.551729779,-1737.034645787,-1601.683464523,0.040389717
gdb_26027,CC(C#C)C1=CC=CN1,3.17546,1.19923,0.96721,1.3664,84.48,-0.1984,0.0411,0.2395,1241.9417,0.147763,-364.819049,-364.810237,-364.809293,-364.853223,33.278,-1856.5198894951,-1866.9892496511,-1877.065161664,-1735.3428815231,0.01593173
gdb_14356,C1C2CC11N=COC21,4.52478,2.33703,2.064,1.5657,64.34,-0.2552,0.0037,0.2589,691.1071,0.1217,-362.583851,-362.578526,-362.577582,-362.612917,22.446,-1476.445845812,-1486.4364166011,-1494.733968108,-1374.305578373,0.86563283
gdb_10136,CCCC(C#N)C#N,2.83548,1.25994,0.91788,4.5228,69.72,-0.3363,-0.0089,0.3274,1235.9882,0.12974,-342.814125,-342.805232,-342.804288,-342.848221,30.536,-1608.673914783,-1617.3140862041,-1626.204633716,-1502.9524534811,0.9234935
gdb_441,C1C(=O)OC=N1,8.78743,3.90713,2.7507,1.6338,39.3,-0.2793,-0.0315,0.2478,433.0637,0.062716,-321.271406,-321.26687,-321.265926,-321.299312,15.897,-952.089285268,-957.241761667,-961.982592162,-893.961244071,0.6777693
gdb_26154,CC([NH3+])C1=C([O-])OC=N1,1.9082,1.24551,0.76013,1.0046,77.47,-0.2483,-0.0688,0.1795,1469.2028,0.132473,-455.191844,-455.181095,-455.180151,-455.228662,36.125,-1668.4962302801,-1676.8596702321,-1686.3425862401,-1554.8436827271,0.7047018
gdb_322,C#CC(=O)C#N,6.60238,2.92418,2.0266,3.7814,44.9,-0.3156,-0.121,0.1947,539.3608,0.036304,-282.861121,-282.855418,-282.854474,-282.890406,18.651,-831.65022788,-834.293923297,-837.848761782,-788.014507038,0.6078663
gdb_1131,CC(C)CC(C)O,4.32241,1.38154,1.30878,1.3628,71.24,-0.2617,0.0712,0.3329,1057.3976,0.192564,-312.132858,-312.123425,-312.122481,-312.166682,34.288,-1872.377041925,-1885.1211222061,-1896.977277252,-1735.85932143,0.5616369
gdb_24348,c1c2c(c[nH]1)NCCC2,3.38918,1.50774,1.08594,1.4278,82.08,-0.1724,0.0499,0.2223,1105.3947,0.164041,-382.11315,-382.105742,-382.104797,-382.144723,30.269,-1892.124122646,-1904.3624306731,-1915.030711182,-1762.32137596,0.9691291
gdb_19694,COC1C2C3CC1N23,4.8244,1.69087,1.56875,1.5743,67.24,-0.2458,0.0685,0.3144,867.0925,0.143318,-363.789888,-363.782999,-363.782055,-363.821203,26.085,-1605.3932977311,-1616.179549932,-1625.663093449,-1491.293336261,0.12891702
gdb_12014,CC1(O)COC2CC12,3.23182,2.00409,1.75679,1.9428,66.31,-0.228,0.0668,0.2948,838.9731,0.153538,-384.925007,-384.917448,-384.916503,-384.956199,29.944,-1702.110004883,-1713.364378798,-1723.440290811,-1581.299462167,0.65581095
gdb_27516,OC1=CC(=O)NC(=N)O1,2.1144,1.87902,0.99489,4.3178,64.91,-0.2483,-0.0261,0.2221,1076.3936,0.090382,-489.953095,-489.945696,-489.944752,-489.985209,27.92,-1382.6884711041,-1389.599227721,-1396.710159709,-1292.570021087,0.93858343
gdb_179,CC(=NO)CO,5.71908,2.66918,1.86162,1.9975,49.13,-0.2502,0.0066,0.2567,639.6693,0.105605,-323.58568,-323.578268,-323.577324,-323.617025,25.106,-1148.6138089061,-1155.515780397,-1162.628594912,-1065.901847616,0.7722548
gdb_15572,CC1OCC=C1C=O,3.47289,1.79113,1.2671,2.9567,69.64,-0.247,-0.0653,0.1817,941.3952,0.129615,-383.760532,-383.752754,-383.75181,-383.792996,27.825,-1599.2430820221,-1608.582925978,-1617.47347349,-1492.601692526,0.9560212
gdb_5098,c1c(c(c(o1)O)N)N,3.3806,2.0319,1.27816,0.8452,60.15,-0.1755,0.0497,0.2252,887.195,0.107748,-415.867613,-415.859558,-415.858614,-415.899554,29.736,-1369.229030563,-1376.61669402,-1384.321249522,-1275.014201794,0.8042207
gdb_6664,C(COC(=O)N)C#N,7.89066,0.81794,0.74817,5.5083,59.04,-0.2825,0.0264,0.3089,1391.3475,0.106578,-415.918145,-415.909448,-415.908504,-415.952899,29.19,-1400.938315351,-1407.92311803,-1415.627673532,-1308.488669399,0.16041604
